Section,#,Cas de test,Actions,Resultat attendu,Statut,Commentaires,
ADMIN - Demandes de devis Detail,27.5,Affichage infos contact,Verifier la carte contact,"Nom, email, telephone, societe, besoins, budget, taille equipe, timeline, types d'evenement",,,
ADMIN - Demandes de devis Detail,27.6,Etape courante et progression,Verifier l'en-tete,Etape actuelle + prochaine + pourcentage d'avancement,,,
ADMIN - Demandes de devis Detail,27.7,Timeline stages,Verifier la timeline,Stages affiches avec l'etape courante surlignee,,,
ADMIN - Demandes de devis Detail,27.8,Historique activites,Verifier l'historique,Toutes les activites listees avec auteur et date,,,
ADMIN - Demandes de devis Detail,27.9,Assigner un admin,Selectionner un admin dans la liste,Toast Assignation mise a jour + activity log,,,
ADMIN - Demandes de devis Detail,27.10,Desassigner,Selectionner Aucun,Assignation effacee,,,
ADMIN - Demandes de devis Detail,27.11,Changer d'etape,Cliquer sur une etape suivante,"Etape mise a jour, notification envoyee au client",,,
ADMIN - Demandes de devis Detail,27.12,Planifier un call,Selectionner date/heure future et valider,"Call planifie, notification client envoyee",,,
ADMIN - Demandes de devis Detail,27.13,Date du call dans le passe,Saisir une date passee,Erreur de validation (after:now),,,
ADMIN - Demandes de devis Detail,27.14,Ajouter une note,Saisir une note (>= 3 chars) et soumettre,Note ajoutee dans l'historique avec auteur,,,
ADMIN - Demandes de devis Detail,27.15,Note trop courte,Saisir une note < 3 chars,Erreur de validation,,,
ADMIN - Demandes de devis Detail,27.16,Issue commerciale gagnee,Cliquer Gagnee + note + valider,"Statut closed, outcome=won, stage closed",,,
ADMIN - Demandes de devis Detail,27.17,Issue commerciale perdue,Cliquer Perdue + note + valider,"Statut closed, outcome=lost",,,
ADMIN - Demandes de devis Detail,27.18,Demande deja cloturee,Ouvrir une demande status=closed,Sections d'action en lecture seule,,,
ADMIN - Offres personnalisees,28.1,Section offres dans le panel,Ouvrir une demande,Section Offres personnalisees visible,,,
ADMIN - Offres personnalisees,28.2,Bouton Nouvelle offre,Cliquer Nouvelle offre,Dialog CustomOfferForm s'ouvre,,,
ADMIN - Offres personnalisees,28.3,Champs du formulaire offre,Ouvrir le dialog,"Champs : titre, description, montant, devise (XAF/EUR/USD), fonctionnalites, conditions, validite (7/14/30/60/90 jours)",,,
ADMIN - Offres personnalisees,28.4,Ajout dynamique de features,Cliquer + pour ajouter une feature,Une ligne supplementaire apparait (max 50),,,
ADMIN - Offres personnalisees,28.5,Suppression d'une feature,Cliquer - sur une feature,La feature est retiree de la liste,,,
ADMIN - Offres personnalisees,28.6,Sauvegarde brouillon,Remplir et cliquer Sauvegarder brouillon,"Offre creee en status draft, card affichee",,,
ADMIN - Offres personnalisees,28.7,Modification d'un brouillon,Cliquer Modifier sur une offre draft,Dialog pre-rempli + sauvegarde possible,,,
ADMIN - Offres personnalisees,28.8,Envoi de l'offre,Cliquer Envoyer sur une offre draft,"Status passe a sent, expires_at recalcule, notification client envoyee, etape automatique custom_offer_created",,,
ADMIN - Offres personnalisees,28.9,Suppression d'un brouillon,Cliquer Supprimer sur une offre draft,Offre supprimee de la liste,,,
ADMIN - Offres personnalisees,28.10,Actions non disponibles si non-draft,Tenter Modifier/Envoyer/Supprimer sur offre sent,Erreur 422 ou actions desactivees,,,
ADMIN - Offres personnalisees,28.11,Card offre - affichage prix,Verifier la card,"Prix formate (Intl.NumberFormat fr-FR), devise affichee",,,
ADMIN - Offres personnalisees,28.12,Card offre - features en badges,Verifier la card,Features affichees comme badges,,,
ADMIN - Offres personnalisees,28.13,Card offre - reponse client,Avoir une offre repondue,"Affiche acceptee/refusee, date de reponse, note client",,,
ADMIN - Offres personnalisees,28.14,Card offre - badge expirees,Avoir une offre expiree,Badge ou indicateur Expiree,,,
ADMIN - Pipeline stages,29.1,Affichage stages,Acceder a la gestion des stages,5 stages systeme affiches triés par sort_order,,,
ADMIN - Pipeline stages,29.2,Creation stage custom,Cliquer Nouveau stage et soumettre,Stage cree avec is_system=false,,,
ADMIN - Pipeline stages,29.3,Modification stage,Modifier nom/slug d'un stage,Mise a jour sauvegardee,,,
ADMIN - Pipeline stages,29.4,Suppression stage systeme,Tenter de supprimer un stage is_system=true,Refus (erreur 422),,,
ADMIN - Pipeline stages,29.5,Suppression stage avec demandes,Tenter de supprimer un stage utilise par au moins une demande,Refus (erreur 422),,,
ADMIN - Pipeline stages,29.6,Reordonnancement,Drag-drop pour reordonner les stages,sort_order mis a jour pour tous les stages,,,
ADMIN - Pipeline stages,29.7,Activation/Desactivation,Toggle is_active,Stage masque ou affiche dans la liste cote demande,,,
DEMANDE DE DEVIS - Notifications,30.1,Notification admin nouvelle demande,Soumettre une demande,Tous les admins recoivent une notification email + database,,,
DEMANDE DE DEVIS - Notifications,30.2,Notification client changement etape,Admin change l'etape d'une demande,Le client recoit une notification email + database,,,
DEMANDE DE DEVIS - Notifications,30.3,Notification client call planifie,Admin planifie un call,Le client recoit la notification avec date/heure,,,
DEMANDE DE DEVIS - Notifications,30.4,Notification client offre envoyee,Admin envoie une offre,Le client recoit l'email avec lien /offers/:token,,,
DEMANDE DE DEVIS - Notifications,30.5,Notification admin reponse offre,Le client accepte/refuse une offre,L'admin assigne (ou tous si aucun) recoit la notification,,,
DEMANDE DE DEVIS - Notifications,30.6,Notification escalade demande inactive,Demande open sans activite > 7 jours,L'admin assigne (ou tous si aucun) recoit une notification stale + activity stale_flagged,,,
DEMANDE DE DEVIS - Notifications,30.7,Auto-expiration offre,Offre sent dont expires_at est passe,"Status passe a expired (cron horaire), activity offer_expired loggee",,,
RESPONSIVE - Devis,31.1,Dialog soumission mobile,Ouvrir le dialog sur mobile (375x667),Affichage correct sans scroll horizontal,,,
RESPONSIVE - Devis,31.2,Liste admin mobile,Ouvrir /admin/quote-requests sur mobile,Liste empilee + bouton de detail visible,,,
RESPONSIVE - Devis,31.3,Page detail mobile,Ouvrir /admin/quote-requests/:id sur mobile,Page dediee (pas de side panel),,,
RESPONSIVE - Devis,31.4,Offre publique mobile,Ouvrir /offers/:token sur mobile,Affichage adapte + boutons accessibles,,,
RESPONSIVE - Devis,31.5,Side panel desktop,Largeur >= 1024px,Side panel visible et navigable,,,
