Section,#,Cas de test,Actions,Resultat attendu,Statut,Commentaires,
EVENEMENTS - Modification,4.4.2003,Modification date,Modifier la date et sauvegarder,Date mise a jour,OK,,
EVENEMENTS - Modification,4.4.2004,Annulation,Cliquer Annuler,Retour sans modification,KO,Le bouton Annulation n'existe pas,
EVENEMENTS - Suppression,4.5.2001,Confirmation suppression,Cliquer Supprimer,Modal de confirmation affiche,OK,,
EVENEMENTS - Suppression,4.5.2002,Annulation suppression,Cliquer Annuler dans modal,"Modal ferme, evenement conserve",OK,,
EVENEMENTS - Suppression,4.5.2003,Suppression confirmee,Cliquer Supprimer dans modal,"Evenement supprime, retour liste",OK,,
TEMPLATES - Liste,4.6.2001,Affichage templates,Acceder a la liste des templates,Liste des templates affichee,,,
TEMPLATES - Liste,4.6.2002,Filtrage par type,Filtrer par type evenement,Seuls templates du type affiches,,,
TEMPLATES - Liste,4.6.2003,Preview template,Cliquer sur un template,Apercu du template affiche,,,
TEMPLATES - Liste,4.6.2004,Themes suggeres,Verifier themes,Themes suggeres affiches,,,
TEMPLATES - Application,4.6.2005,Appliquer template,Appliquer un template a un evenement,Template applique avec taches et budget,,,
TEMPLATES - Application,4.6.2006,Application lors creation,Selectionner template lors creation,Template applique automatiquement,,,
INVITES - Liste,5.1.2001,Affichage liste,Aller sur onglet Invites d'un evenement,Liste des invites affichee,OK,,
INVITES - Liste,5.1.2002,Liste vide,Evenement sans invites,Message Aucun invite,OK,,
INVITES - Liste,5.1.2003,Statistiques invites,Verifier les compteurs,"Total, Confirmes, En attente, Declines",OK,,
INVITES - Liste,5.1.2004,Bouton ajouter invite,Cliquer Ajouter un invite,Formulaire ajout affiche,OK,,
INVITES - Liste,5.1.2005,Bouton importer,Cliquer Importer,Modal import CSV/Excel affiche,OK,,
INVITES - Liste,5.1.2006,Export invites,Exporter liste invites,Fichier CSV/Excel telecharge,,,
INVITES - Liste,5.1.2007,Filtrage par statut RSVP,Filtrer par statut RSVP,Seuls invites du statut affiches,,,
INVITES - Liste,5.1.2008,Recherche invite,Rechercher par nom/email,Resultats filtres,,,
INVITES - Ajout,5.2.2001,Formulaire ajout,Ouvrir formulaire,"Champs nom, email, telephone, etc.",OK,,
INVITES - Ajout,5.2.2002,Ajout valide,Remplir nom/email et soumettre,Invite ajoute a la liste,OK,,
INVITES - Ajout,5.2.2003,Email invalide,Saisir email mal formate,Message erreur validation,OK,,
INVITES - Ajout,5.2.2004,Champ accompagnant,Cocher Avec accompagnant,Option accompagnant activee,OK,,
INVITES - Ajout,5.2.2005,Restrictions alimentaires,Saisir restrictions,Texte libre accepte,OK,,
INVITES - Import CSV/Excel,5.3.2001,Modal import,Cliquer Importer,Modal avec zone upload affichee,OK,,
INVITES - Import CSV/Excel,5.3.2002,Telechargement modele,Cliquer lien modele,Fichier modele telecharge,OK,,
INVITES - Import CSV/Excel,5.3.2003,Upload fichier CSV,Uploader un fichier CSV valide,"Fichier accepte, apercu affiche",OK,,
INVITES - Import CSV/Excel,5.3.2004,Upload fichier Excel,Uploader un fichier XLSX valide,"Fichier accepte, apercu affiche",OK,,
INVITES - Import CSV/Excel,5.3.2005,Apercu donnees,Apres upload,Tableau apercu avec donnees du fichier,OK,,
INVITES - Import CSV/Excel,5.3.2006,Import valide,Cliquer Importer,"Invites ajoutes, message succes",KO,"""The selected delimiter is invalid.""",
INVITES - Import CSV/Excel,5.3.2007,Fichier invalide,Uploader fichier non CSV/Excel,Message erreur format,,Peu pas tester l'upload ne fonctionne pas,
INVITES - Import CSV/Excel,5.3.2008,Fichier vide,Uploader fichier sans donnees,Message erreur fichier vide,,Peu pas tester l'upload ne fonctionne pas,
INVITES - Modification/Suppression,5.4.2001,Modifier invite,Cliquer modifier sur un invite,Formulaire pre-rempli,OK,,
INVITES - Modification/Suppression,5.4.2002,Sauvegarder modification,Modifier et sauvegarder,Invite mis a jour,OK,,
INVITES - Modification/Suppression,5.4.2003,Supprimer invite,Cliquer supprimer,Confirmation puis suppression,OK,,
INVITES - RSVP,5.5.2001,Envoyer invitation,Cliquer Envoyer invitation,"Email envoye, statut mis a jour",,SMTP PAS ENCORE CONFIGURE,
INVITES - RSVP,5.5.2002,Renvoyer invitation,Cliquer Renvoyer,Nouvel email envoye,,SMTP PAS ENCORE CONFIGURE,
INVITES - RSVP,5.5.2003,Changer statut RSVP,Modifier le statut manuellement,Statut mis a jour,,SMTP PAS ENCORE CONFIGURE,
INVITES - RSVP,5.5.2004,Check-in invite,Cliquer Enregistrer arrivee,Invite marque comme present,,SMTP PAS ENCORE CONFIGURE,
INVITES - RSVP,5.5.2005,Annuler check-in,Annuler le check-in,Check-in annule,,,
INVITES - RSVP,5.5.2006,Details invitation,Verifier details invitation,Details affiches,,,
INVITES - RSVP,5.5.2007,Invitation publique,Acceder a lien invitation publique,Page invitation publique affichee,,,
INVITES - RSVP,5.5.2008,Repondre invitation publique,Repondre via lien public,Reponse enregistree,,,
INVITES - Export,5.6.2001,Export CSV,Exporter invites en CSV,Fichier CSV telecharge,,,
INVITES - Export,5.6.2002,Export Excel,Exporter invites en Excel,Fichier XLSX telecharge,,,
INVITES - Export,5.6.2003,Export PDF,Exporter invites en PDF,Fichier PDF telecharge,,,
TACHES - Liste,6.1.2001,Affichage liste,Aller sur onglet Taches d'un evenement,Liste des taches affichee,OK,,
TACHES - Liste,6.1.2002,Liste vide,Evenement sans taches,Message Aucune tache,OK,,
TACHES - Liste,6.1.2003,Filtrage par statut,Filtrer par statut,Seules taches du statut affichees,KO,les filtres n'ont aucun effet sur la liste des tâches,
TACHES - Liste,6.1.2004,Filtrage par priorite,Filtrer par priorite,Seules taches de la priorite affichees,KO,les filtres n'ont aucun effet sur la liste des tâches,
TACHES - Liste,6.1.2005,Export taches,Exporter taches,Fichier CSV/Excel telecharge,,,
TACHES - Liste,6.1.2006,Drag and drop,Deplacer tache entre colonnes,Statut mis a jour,,,
TACHES - Ajout,6.2.2001,Formulaire ajout,Cliquer Ajouter une tache,Formulaire avec champs,OK,,
TACHES - Ajout,6.2.2002,Ajout valide,Remplir titre et soumettre,Tache ajoutee,OK,,
TACHES - Ajout,6.2.2003,Selection priorite,Choisir priorite,Basse/Moyenne/Haute disponibles,OK,,
TACHES - Ajout,6.2.2004,Date limite,Selectionner une date,Date enregistree,OK,,
TACHES - Ajout,6.2.2005,Assigner a,Selectionner un collaborateur,Tache assignee,KO,je ne vois pas de mention collaborer dans l'onglet tâche,
TACHES - Ajout,6.2.2006,Cout estime,Saisir cout estime,Cout enregistre,,,
TACHES - Ajout,6.2.2007,Categorie budget,Selectionner categorie budget,Categorie enregistree,,,
TACHES - Modification,6.2.2008,Modifier tache,Modifier une tache existante,Tache mise a jour,,,
TACHES - Statut,6.3.2001,Marquer en cours,Changer statut a En cours,Statut mis a jour,KO,"Je n'ai pas de possibilité de mettre à jour le statut dans le menu contextuel, juste avec le drag and drop",
TACHES - Statut,6.3.2002,Marquer terminee,Changer statut a Terminee,Tache marquee complete,KO,"Je n'ai pas de possibilité de mettre à jour le statut dans le menu contextuel, juste avec le drag and drop",
TACHES - Statut,6.3.2003,Annuler tache,Changer statut a Annulee,Tache annulee,KO,"Je n'ai pas de possibilité de mettre à jour le statut dans le menu contextuel, juste avec le drag and drop",
TACHES - Suppression,6.3.2004,Supprimer tache,Supprimer une tache,Tache supprimee,,,
BUDGET - Liste,7.1.2001,Affichage budget,Aller sur onglet Budget d'un evenement,Resume budget affiche,OK,,
BUDGET - Liste,7.1.2002,Totaux,Verifier les totaux,"Estime, Reel, Paye, Restant corrects",OK,,
BUDGET - Liste,7.1.2003,Liste depenses,Verifier la liste,Depenses listees par categorie,OK,,
BUDGET - Liste,7.1.2004,Statistiques budget,Verifier statistiques,Statistiques affichees,,,
BUDGET - Liste,7.1.2005,Export budget,Exporter budget,Fichier CSV/PDF/Excel telecharge,,,
BUDGET - Ajout,7.2.2001,Formulaire ajout,Cliquer Ajouter une depense,Formulaire affiche,Ok,,,
BUDGET - Ajout,7.2.2002,Selection categorie,Ouvrir select categorie,"Categories disponibles (Lieu, Traiteur, etc.)",OK,,
BUDGET - Ajout,7.2.2003,Montant estime,Saisir montant estime,Montant accepte,OK,,
BUDGET - Ajout,7.2.2004,Montant reel,Saisir montant reel,Montant accepte,OK,,
BUDGET - Ajout,7.2.2005,Fournisseur,Saisir nom fournisseur,Texte accepte,OK,,
BUDGET - Ajout,7.2.2006,Lien tache,Associer a une tache,Tache associee,,,
BUDGET - Ajout,7.2.2007,Ajout valide,Soumettre formulaire,"Depense ajoutee, totaux mis a jour",OK,,
BUDGET - Modification,7.2.2008,Modifier depense,Modifier une depense,Depense mise a jour,,,
BUDGET - Paiements,7.3.2001,Marquer comme paye,Cliquer Marquer comme paye,Depense marquee payee,OK,,
BUDGET - Paiements,7.3.2002,Marquer comme non paye,Cliquer Marquer comme non paye,Depense marquee non payee,,,
BUDGET - Paiements,7.3.2003,Total paye,Apres paiement,Total paye mis a jour,OK,,
BUDGET - Paiements,7.3.2004,Date paiement,Saisir date paiement,Date enregistree,,,
BUDGET - Operations en masse,7.4.2001,Modification en masse,Modifier plusieurs depenses,Depenses mises a jour,,,
PHOTOS - Liste,8.1.2001,Affichage liste,Aller sur onglet Photos d'un evenement,Liste des photos affichee,,,
PHOTOS - Liste,8.1.2002,Liste vide,Evenement sans photos,Message Aucune photo,,,
PHOTOS - Liste,8.1.2003,Statistiques photos,Verifier statistiques,Statistiques affichees,,,
PHOTOS - Liste,8.1.2004,Filtrage par type,Filtrer par type photo,Seules photos du type affichees,,,
PHOTOS - Upload,8.2.2001,Upload photo,Uploader une photo,Photo uploadée et affichee,,,
PHOTOS - Upload,8.2.2002,Upload multiple,Uploader plusieurs photos,Photos uploadées,,,
PHOTOS - Upload,8.3.2003,Types photos,Selectionner type photo,Type enregistre,,,
PHOTOS - Upload,8.2.2004,Photo invalide,Uploader fichier non image,Message erreur format,,,
PHOTOS - Upload,8.2.2005,Taille fichier limite,Uploader fichier trop volumineux,Message erreur taille,,,
PHOTOS - Upload,8.2.2006,Photo de couverture,Marquer comme photo de couverture,Photo de couverture definie,,,
PHOTOS - Upload,8.2.2007,Photo featured,Marquer comme featured,Photo featured definie,,,
PHOTOS - Operations,8.3.2001,Telecharger photo,Telecharger une photo,Photo telechargee,,,
PHOTOS - Operations,8.3.2002,Telecharger multiple,Telecharger plusieurs photos,Photos telechargees en ZIP,,,
PHOTOS - Operations,8.3.2003,Supprimer photo,Supprimer une photo,Photo supprimee,,,
PHOTOS - Operations,8.3.2004,Supprimer multiple,Supprimer plusieurs photos,Photos supprimees,,,
PHOTOS - Operations,8.3.2005,Modifier type,Modifier type photo,Type mis a jour,,,
PHOTOS - Operations,8.3.2006,Modifier type multiple,Modifier type plusieurs photos,Types mis a jour,,,
PHOTOS - Public,8.4.2001,Upload photo publique,Uploader photo via lien public,Photo uploadée,,,
PHOTOS - Public,8.4.2002,Acces photos publiques,Acceder a photos via token,Photos affichees,,,
PHOTOS - Public,8.4.2003,Telecharger photos publiques,Telecharger photos via lien public,Photos telechargees,,,
COLLABORATIONS,9.1,Affichage page,Acceder a /collaborations,Liste des collaborations,OK,,
COLLABORATIONS,9.2,Inviter collaborateur,Cliquer Inviter,Modal invitation affiche,KO,Il n'y a pas de bouton inviter un collaborateur,
COLLABORATIONS,9.3,Envoi invitation,Saisir email et role,Invitation envoyee,KO,Il n'y a pas de bouton inviter un collaborateur,
COLLABORATIONS,9.4,Roles disponibles,Verifier les roles,"Proprietaire, Editeur, Lecteur",KO,,
COLLABORATIONS,9.5,Accepter invitation,Cliquer accepter sur invitation recue,Collaboration activee,KO,,
COLLABORATIONS,9.6,Refuser invitation,Cliquer refuser,Invitation supprimee,KO,,
COLLABORATIONS,9.7,Invitations en attente,Verifier invitations en attente,Liste affichee,,,
COLLABORATIONS,9.8,Statistiques collaborateurs,Verifier statistiques,Statistiques affichees,,,
COLLABORATIONS,9.9,Modifier role collaborateur,Modifier role d'un collaborateur,Role mis a jour,,,
COLLABORATIONS,9.10,Resilier collaboration,Resilier collaboration,Collaboration terminee,,,
COLLABORATIONS,9.11,Renvoyer invitation,Renvoyer invitation collaborateur,Invitation renvoyee,,,
COLLABORATIONS - Roles personnalises,9.12.2001,Liste roles personnalises,Verifier roles personnalises,Liste affichee,,,
COLLABORATIONS - Roles personnalises,9.12.2002,Creer role personnalise,Creer un nouveau role,Role cree,,,
COLLABORATIONS - Roles personnalises,9.12.2003,Modifier role personnalise,Modifier un role,Role mis a jour,,,
COLLABORATIONS - Roles personnalises,9.12.2004,Supprimer role personnalise,Supprimer un role,Role supprime,,,
COLLABORATIONS - Roles personnalises,9.12.2005,Permissions role,Verifier permissions,Permissions affichees,,,
NOTIFICATIONS,10.1,Affichage page,Acceder a /notifications,Liste des notifications,OK,,
NOTIFICATIONS,10.2,Liste vide,Sans notifications,Message Aucune notification,OK,,
NOTIFICATIONS,10.3,Marquer comme lue,Cliquer sur notification,Notification marquee lue,OK,,
NOTIFICATIONS,10.4,Tout marquer comme lu,Cliquer Tout marquer comme lu,Toutes notifications lues,OK,,
NOTIFICATIONS,10.5,Indicateur non lues,Avoir des notifications non lues,Badge compteur visible,OK,l'affichage peut être amélioré,
NOTIFICATIONS,10.6,Supprimer notification,Supprimer une notification,Notification supprimee,,,
NOTIFICATIONS,10.7,Supprimer multiple,Supprimer plusieurs notifications,Notifications supprimees,,,
NOTIFICATIONS,10.8,Effacer notifications lues,Effacer toutes notifications lues,Notifications lues supprimees,,,
NOTIFICATIONS,10.9,Notifications recentes,Verifier notifications recentes,Liste affichee,,,
NOTIFICATIONS,10.10,Compteur non lues,Verifier compteur,Compteur correct,,,
NOTIFICATIONS,10.11,Parametres notifications,Modifier parametres,Parametres sauvegardes,,,
NOTIFICATIONS,10.12,Device token,Enregistrer device token,Token enregistre pour push notifications,,,
PROFIL,11.1,Affichage profil,Acceder a /profile,Page profil avec infos,OK,,
PROFIL,11.2,Modifier nom,Changer le nom et sauvegarder,Nom mis a jour,OK,,
PROFIL,11.3,Changer photo,Uploader nouvelle photo,Avatar mis a jour,OK,,
PROFIL,11.4,Supprimer photo,Cliquer supprimer photo,Avatar par defaut,OK,,
PROFIL,11.5,Email non modifiable,Verifier champ email,Champ desactive,OK,,
PARAMETRES,12.1,Affichage page,Acceder a /settings,Page parametres,OK,,
PARAMETRES,12.2,Changer mot de passe,Saisir ancien + nouveau mot de passe,Mot de passe modifie,KO,ça me renvoi le mot de passe est incorrect même quand je renseigne le bon. et les chamos ne donnent pas la possibilité de rendre le ch,amps visble,
PARAMETRES,12.3,Ancien mot de passe incorrect,Saisir mauvais ancien mot de passe,Message erreur,KO,,
PARAMETRES,12.4,Parametres notifications,Modifier preferences,Preferences sauvegardees,KO,la mise à jour des toggle button ne fonctionne pas,
PARAMETRES,12.5,Sessions actives,Verifier liste sessions,Sessions affichees,OK,je suis redirigé vers le login.,
PARAMETRES,12.6,Supprimer compte,Cliquer Supprimer mon compte,Confirmation demandee,OK,,
PARAMETRES - Types evenements,12.7.2001,Liste types evenements,Verifier types personnalises,Liste affichee,,,
PARAMETRES - Types evenements,12.7.2002,Creer type evenement,Creer un nouveau type,Type cree,,,
PARAMETRES - Types evenements,12.7.2003,Modifier type evenement,Modifier un type,Type mis a jour,,,
PARAMETRES - Types evenements,12.7.2004,Supprimer type evenement,Supprimer un type,Type supprime,,,
PARAMETRES - Types evenements,12.7.2005,Reordonner types,Changer ordre types,Ordre mis a jour,,,
PARAMETRES - Roles collaborateurs,12.8.2001,Liste roles collaborateurs,Verifier roles personnalises,Liste affichee,,,
PARAMETRES - Roles collaborateurs,12.8.2002,Creer role collaborateur,Creer un nouveau role,Role cree,,,
PARAMETRES - Roles collaborateurs,12.8.2003,Modifier role collaborateur,Modifier un role,Role mis a jour,,,
PARAMETRES - Roles collaborateurs,12.8.2004,Supprimer role collaborateur,Supprimer un role,Role supprime,,,
PARAMETRES - Roles collaborateurs,12.8.2005,Reordonner roles,Changer ordre roles,Ordre mis a jour,,,
PARAMETRES - Categories budget,12.9.2001,Liste categories budget,Verifier categories personnalisees,Liste affichee,,,
PARAMETRES - Categories budget,12.9.2002,Creer categorie budget,Creer une nouvelle categorie,Categorie creee,,,
PARAMETRES - Categories budget,12.9.2003,Modifier categorie budget,Modifier une categorie,Categorie mise a jour,,,
PARAMETRES - Categories budget,12.9.2004,Supprimer categorie budget,Supprimer une categorie,Categorie supprimee,,,
PARAMETRES - Categories budget,12.9.2005,Reordonner categories,Changer ordre categories,Ordre mis a jour,,,
ABONNEMENTS,13.1,Affichage page,Acceder a /subscriptions,Page abonnements,OK,,
ABONNEMENTS,13.2,Plan actuel,Verifier plan affiche,Plan correct avec details,KO,Il n'existe pas une page où on peu voir les plans si ce n'est au moment de l'activation d'event,
ABONNEMENTS,13.3,Plans disponibles,Voir les plans,Liste des plans avec prix,KO,,
ABONNEMENTS,13.4,Changer de plan,Cliquer Choisir ce plan,Processus paiement demarre,KO,,
ABONNEMENTS,13.5,Historique paiements,Verifier historique,Paiements precedents listes,OK,,
ABONNEMENTS,13.6,Quota evenements,Verifier quota,Quota affiche correctement,,,
